Date,Open,High,Low,Close,Volume
2019-01-02,221.2181164696921,225.92164195797136,221.19113755446438,224.9953155517578,126925200
2019-01-03,223.2416552536366,223.5474392159081,219.14069477160703,219.6263427734375,144140700
2019-01-04,222.66604429082034,227.63037053177197,222.28832575504876,226.98284912109375,142628800
2019-01-07,227.25266090851673,230.18448416653186,226.3533271053869,228.7725372314453,103139100
2019-01-08,230.96690393187473,231.40756869382054,228.4307761296597,230.9219207763672,102512600
2019-01-09,231.63235331492126,232.84645912991954,230.40027070880188,232.00108337402344,95006600
2019-01-10,230.46329928424396,233.071361938652,229.77979678131976,232.81954956054688,96823900
2019-01-11,231.7403799651263,232.93650956199534,231.1558183506131,232.90953063964844,73858100
2019-01-14,231.00290788486896,232.2979509834305,230.5982240700025,231.48855590820312,70908200
2019-01-15,231.86625752451133,234.45634337843924,231.8572554035423,234.14157104492188,85208300
2019-01-16,234.5732231151311,235.59847682156547,234.36639390612345,234.70814514160156,77636700
2019-01-17,233.83579698700657,237.35219554172227,233.79081382839195,236.4888153076172,96118400
2019-01-18,238.30546298785782,240.10413045791202,236.52477231212865,239.63645935058594,127900300
2019-01-22,238.1616094645753,238.37744081754613,234.7801052254057,236.39889526367188,115531200
2019-01-23,237.43316053663222,238.13463990685602,234.42038637067978,236.8935546875,86030300
2019-01-24,236.71360850659136,237.60396750624668,235.69735706430419,237.01937866210938,59204100
2019-01-25,238.87203404149076,239.8523320215574,237.11834962376525,239.02493286132812,96883400
2019-01-28,236.87553336916727,237.27121497563726,235.43659385709026,237.20828247070312,85613700
2019-01-29,237.35222377608642,237.918781099907,236.05718071636653,236.8935546875,66136300
2019-01-30,238.41342254333662,241.48912911397957,237.6489832387115,240.6437530517578,92473700
2019-01-31,240.58081427626428,243.2428348680821,240.36495548279828,242.75718688964844,104012100
2019-02-01,242.95502122141087,243.8993381811941,242.0826663352915,242.87408447265625,85782500
2019-02-04,242.91905160532545,244.64578466307475,242.24455122183585,244.58282470703125,60744800
2019-02-05,245.01452959502666,245.91386349386454,244.51090480731688,245.60809326171875,79552800
2019-02-06,245.32926965533957,245.82389225639483,244.54685365762106,245.28428649902344,58347800
2019-02-07,243.66551628474147,244.21409676113956,241.28228706380753,242.94606018066406,95482000
2019-02-08,241.69595788208665,243.34172665416142,240.86855871304238,243.24281311035156,75788900
2019-02-11,243.899268596536,244.16005556406836,242.84703627194932,243.3776397705078,68021400
2019-02-12,244.99660213922425,246.8851817507457,244.9246400433484,246.50747680664062,72270200
2019-02-13,247.34378133078442,248.15317628594968,246.92109333429394,247.30780029296875,65277200
2019-02-14,246.21962575644739,247.89240102579802,245.40122864153545,246.7592315673828,83234400
2019-02-15,248.5399061559804,249.48422322863254,248.33307692182726,249.4482421875,97088700
2019-02-19,248.64776962438904,250.53634827369635,248.63876750561656,249.87985229492188,59120800
2019-02-20,249.8439238872821,250.84219868934264,249.3402991486625,250.38352966308594,76610800
2019-02-21,249.7449763975845,250.10470438406435,248.53087042841463,249.4931640625,64214700
2019-02-22,250.11374454903205,251.23791195456795,249.4752251474258,251.0400848388672,78114600
2019-02-25,252.47006518967055,252.99166687804922,251.3009144228595,251.38185119628906,69030700
2019-02-26,251.03105918918752,252.08326441267496,250.82420252557895,251.20193481445312,56844100
2019-02-27,250.4825024397813,251.44479643221015,249.54721481574416,251.0940704345703,56921600
2019-02-28,250.87820096798274,251.3188932839157,250.302641488788,250.6263885498047,69268300
2019-03-01,252.20915416244034,252.60486320041778,250.75223790692678,252.19117736816406,78880500
2019-03-04,253.25239475665288,253.49520499382757,248.9715572350569,251.2738494873047,106494600
2019-03-05,251.39975422651665,251.5976087415186,250.38350273789234,250.9320831298828,59114600
2019-03-06,251.0489180407803,251.05792015750944,249.0883777772736,249.41212463378906,75039800
2019-03-07,248.96258773779974,249.1064844531069,246.4804448738546,247.32582092285156,94885100
2019-03-08,245.46413840060012,247.001991318599,244.9964947643539,246.83111572265625,85795800
2019-03-11,247.55069262334575,250.57244177496358,247.5237137004026,250.4105682373047,65098900
2019-03-12,250.96804470659055,251.87638047033698,250.77919232593007,251.35475158691406,79667500
2019-03-13,252.24518647046384,253.95391542061637,252.08328550711798,253.0186004638672,80639200
2019-03-14,253.04555713280294,253.46824513369083,252.41603991467647,252.85670471191406,67518400
2019-03-15,253.41042968803183,254.91891715486173,253.2207178582975,254.10595703125,81309000
2019-03-18,254.3227288858009,255.3254007990882,254.09690510679866,255.0272979736328,62199800
2019-03-19,256.093232927255,256.8610118000077,254.1963074795049,255.09056091308594,90268100
2019-03-20,254.87377831574292,256.0841905823107,253.21171844673714,254.32275390625,84609200
2019-03-21,253.5007473364463,257.6016871980139,253.45556604211086,257.1952209472656,79550400
2019-03-22,255.83113737290287,256.3550361929163,252.18181890461366,252.24505615234375,122659300
2019-03-25,251.90189340613253,253.09424952225373,250.79085810525518,252.0554656982422,85575200
2019-03-26,253.81690864440495,254.8918321344022,252.52520312831808,253.93434143066406,68125900
2019-03-27,253.92537102280843,254.5125351191257,251.05289810428968,252.6065673828125,72224700
2019-03-28,253.23883755080985,254.01565826063356,252.0826206937433,253.5640106201172,56238500
2019-03-29,255.08142650421584,255.4878926159492,253.95230802767472,255.1627197265625,82186800
2019-04-01,257.1681424010861,258.48694561262533,256.8971373139716,258.1888427734375,77617900
2019-04-02,258.37854489177516,258.5501731705819,257.5204034977414,258.3153076171875,40070400
2019-04-03,259.53482308374635,259.9322752377063,258.116642787407,258.72186279296875,68243200
2019-04-04,259.0470430809924,259.6612773118581,258.3515155754286,259.4083557128906,48997500
2019-04-05,260.076773528645,260.71810542034405,259.7877124404715,260.6639099121094,58621700
2019-04-08,260.23936445922556,260.97103139916385,259.57994900936256,260.8626403808594,53566300
2019-04-09,259.8961417586214,260.2213148559514,258.97479041646653,259.5257873535156,66142300
2019-04-10,259.94121861686097,260.50128472947773,259.52571059326135,260.41094970703125,52601500
2019-04-11,260.8986920739102,260.9077338454746,259.7695732834317,260.3386535644531,55093100
2019-04-12,261.95562814032826,262.38017801962485,260.3839031927292,262.10015869140625,69727800
2019-04-15,262.1723465365218,262.2717233265553,261.12452097037357,261.928466796875,49596700
2019-04-16,262.8137696728588,262.86796518371506,261.5039805056036,262.10015869140625,52153200
2019-04-17,263.22027177968425,263.24736953879534,261.04332657646705,261.4588623046875,58268300
2019-04-18,262.04591185707466,262.244637880087,260.74516471851695,261.9736328125,68708500
2019-04-22,261.20589071998097,262.35306572470756,261.1155556847655,262.1994934082031,40160100
2019-04-23,262.56983795365267,264.79196395818724,262.3349999505187,264.5570983886719,52246600
2019-04-24,264.47581381840564,264.8100286374608,263.8254401607045,263.969970703125,50392900
2019-04-25,263.87067138160677,264.4668497067682,262.61510499809884,263.80743408203125,57770900
2019-04-26,263.8525132206779,265.1080791179759,263.07566507367034,265.03582763671875,50916400
2019-04-29,265.12618194159734,265.9752816316039,265.03584690867245,265.45135498046875,57197700
2019-04-30,265.10807719656526,265.87588356545854,263.68992480193225,265.5868225097656,81111700
2019-05-01,266.2191377504172,266.42690555104076,263.58150388189347,263.5905456542969,71671900
2019-05-02,263.4730402558775,264.3944186629235,261.5219200347097,263.0213928222656,65030200
2019-05-03,264.5028763663921,265.87587498706483,263.12985017934074,265.5958557128906,56543700
2019-05-06,261.2781287864276,264.94550498344347,260.961969962606,264.5028991699219,107198100
2019-05-07,262.0910706412951,262.6872487218335,258.17077317203905,260.08575439453125,144729900
2019-05-08,259.72442626953125,261.4406813621305,259.1282482247884,259.72442626953125,91568300
2019-05-09,257.6469538768872,259.54385214177057,255.90357282465766,258.93865966796875,103471100
2019-05-10,257.9991068637129,260.9980528026272,255.00016092479854,260.2392883300781,112429300
2019-05-13,255.10856731315093,256.0750719417977,252.8593441830298,253.69940185546875,127290500
2019-05-14,254.720216368122,257.5294789041339,254.59376936881196,255.99386596679688,77003200
2019-05-15,254.35891148197908,258.13467909035165,254.1511436462172,257.49334716796875,73956400
2019-05-16,258.1979082757085,261.24200882603384,258.1256567856661,259.8780517578125,76749600
2019-05-17,257.5655859270425,260.69097935008955,257.54750238200677,258.1978759765625,100353000
2019-05-20,256.5900413823226,258.30629680975045,255.74094165897924,256.4906921386719,62877600
2019-05-21,258.1888084922872,259.18243854701603,257.93588698439044,258.8030700683594,46847100
2019-05-22,257.8455922120902,258.9656692926536,257.52943342007944,258.0081787109375,49482500
2019-05-23,255.77703341365086,255.82218714026155,253.43750250783694,254.85568237304688,98733800
2019-05-24,256.30090177632866,256.716437303525,254.8104706134705,255.43374633789062,55268100
2019-05-28,255.7138722442559,256.6713630909262,253.04012577995306,253.0581817626953,70029400
2019-05-29,251.93809230947528,252.34455864960827,249.9508316475433,251.35997009277344,104972900
2019-05-30,252.11869923760247,252.9587846880575,250.9444265544693,252.04644775390625,62523800
2019-05-31,249.4901097810255,250.32112580965443,248.62292666457193,248.6500244140625,86862800
2019-06-03,248.68619083445452,249.80626802305358,246.6808744561163,248.01776123046875,96428000
2019-06-04,250.3211276628397,253.53685593595583,249.86948012373486,253.4013671875,77231900
2019-06-05,255.02733986091022,255.62351804336174,253.21173512466368,255.59642028808594,71169700
2019-06-06,255.8945267634645,257.9359553445311,255.24415306130928,257.25848388671875,69430400
2019-06-07,258.27921673423265,260.9168511212759,258.1075884231039,259.8328857421875,74272200
2019-06-10,261.3865200758358,262.6963091046184,260.93487248885987,261.02520751953125,60799100
2019-06-11,262.84982800002933,263.22018229289705,260.31157101613115,260.9619445800781,58641300
2019-06-12,260.72707496458196,261.2871134387814,259.98636646872944,260.5012512207031,47096300
2019-06-13,261.41355488119206,261.93748139309844,260.7089859178219,261.5761413574219,48945200
2019-06-14,261.28717041015625,261.8923627385384,260.51936400027984,261.28717041015625,52324700
2019-06-17,261.5220549488146,262.1543727086202,261.21493784348746,261.3865661621094,39205700
2019-06-18,263.2111344293346,265.1803108471755,262.8497943883869,264.1234436035156,85434800
2019-06-19,264.2589761951365,265.25260633990735,263.2834295952393,264.71966552734375,78674400
2019-06-20,267.41151545164615,267.65539522876196,264.78292314387227,267.2489013671875,116570000
2019-06-21,266.9784470629707,268.2401197877472,266.64260671969475,266.8604431152344,83309500
2019-06-24,267.0691631935938,267.38683196762946,266.3793111576169,266.53363037109375,47582700
2019-06-25,266.58806998132854,266.61529952284087,263.810545945279,263.9194641113281,82028700
2019-06-26,264.8181206931494,265.32642403868346,263.54736232931435,263.6562805175781,51584900
2019-06-27,264.4187234997187,265.0994898458339,264.03750985814816,264.5911865234375,40355200
2019-06-28,265.5714869164789,266.4519458621194,265.0541255281596,265.9527282714844,59350900
2019-07-01,269.2930198056535,269.51088388380225,267.1599462725521,268.3671875,78705600
2019-07-02,268.32169854095804,269.12046859806475,267.4775551535163,269.0660095214844,61504500
2019-07-03,269.7468343677633,271.23545665269427,269.60160089846875,271.21728515625,40898900
2019-07-05,269.982767904608,271.072004774277,268.6847804869042,270.9085998535156,51677300
2019-07-08,269.592598547186,270.7272092912815,268.8755168007895,269.4201354980469,45841800
2019-07-09,268.2582704239669,270.05547594830585,268.20381132931755,269.7559509277344,41101300
2019-07-10,270.82699396197586,271.99791979943893,270.29146110929497,271.0448303222656,58448500
2019-07-11,271.6892615281569,271.92524164370593,270.67265509070546,271.68017578125,50826100
2019-07-12,272.1703448084738,272.96911495192194,271.86173410767776,272.896484375,40326000
2019-07-15,273.3322307348053,273.3322307348053,272.47900136529853,272.9873046875,33900000
2019-07-16,272.89649595316206,273.10527424510934,271.79820080954806,272.1068115234375,36650100
2019-07-17,272.0796816153674,272.24305892952805,270.2552185058594,270.2552185058594,36036300
2019-07-18,269.7559122946191,271.62574814433856,269.31115385186047,271.2445068359375,51392600
2019-07-19,272.34288524002625,272.3701147890021,269.56536044266215,269.7378234863281,58678600
2019-07-22,270.1371532116461,270.94500924900836,269.6197918342693,270.400390625,43638100
2019-07-23,271.5259119902251,272.333740234375,270.6908265025734,272.333740234375,44564500
2019-07-24,271.5712875786743,273.61358642578125,271.4805132009349,273.61358642578125,47213200
2019-07-25,273.159747862195,273.21420694986983,271.49866258675854,272.3065185546875,55394100
2019-07-26,272.9964317324127,274.3307350801449,272.86934203241077,274.13104248046875,45084100
2019-07-29,274.0130468310187,274.1310507844643,273.0781286543182,273.6318054199219,38126500
2019-07-30,272.2248879845169,273.3685844705238,271.8436465890288,272.9601135253906,45849000
2019-07-31,273.20521602792815,273.3958506014084,267.9497183400295,269.9738464355469,104245200
2019-08-01,270.1280927977596,273.0962241069558,266.82409348804083,267.62286376953125,142646600
2019-08-02,266.72416290679564,266.9692287300725,264.04647183944184,265.6076965332031,116749700
2019-08-05,261.4958745621975,261.604792707607,255.71390550634666,257.62005615234375,178745400
2019-08-06,259.5171496355938,261.45053003088304,258.0376133631256,261.232666015625,120711700
2019-08-07,258.14653962146434,262.15853398130014,256.0044085907409,261.3869934082031,140572300
2019-08-08,262.88474879356926,266.5155029296875,262.33107208403,266.5155029296875,87713900
2019-08-09,265.5715381596282,266.17061600425745,262.91201701185656,264.7001647949219,93730000
2019-08-12,263.1933611738068,264.6910417239846,260.5247546514729,261.47784423828125,65527600
2019-08-13,261.1782411532244,266.996526894083,260.83331514262096,265.5442199707031,94299800
2019-08-14,261.4778530669701,262.0859888967514,257.56571754542455,257.6927795410156,135622100
2019-08-15,258.5823134908246,259.2721656394574,256.32217790974335,258.37353515625,99556600
